Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Bengals @ Texans,Total,Final,o45.5 (+106) | u45.5 (-106),34% | 66%,49% | 51%,+15%,"117,761",2026-09-22 00:40
Saints @ Ravens,Total,Final,o42.5 (+108) | u45.5 (-106),25% | 75%,46% | 54%,+21%,"115,817",2026-09-22 00:40
Vikings @ Bears,Total,Final,o30.5 (+104) | u46.5 (-105),27% | 73%,48% | 52%,+21%,"125,086",2026-09-22 00:40
Steelers @ Patriots,Total,Final,o41.5 (+106) | u41.5 (-106),37% | 63%,32% | 68%,+5%,"88,922",2026-09-22 00:40
Raiders @ Chargers,Total,Final,o43.5 (+102) | u43.5 (-102),32% | 68%,37% | 63%,+5%,"78,315",2026-09-22 00:40
Jaguars @ Broncos,Total,Final,o34.5 (+9900) | u45.5 (-110),28% | 72%,53% | 47%,+25%,"97,329",2026-09-22 00:40
Commanders @ Cowboys,Total,Final,o51.5 (+108) | u50.5 (+106),32% | 68%,54% | 46%,+22%,"114,696",2026-09-22 00:40
Dolphins @ 49ers,Total,Final,o44.5 (-102) | u47.5 (-108),31% | 69%,29% | 71%,+2%,"85,964",2026-09-22 00:40
Seahawks @ Cardinals,Total,Final,o36.5 (-122) | u41.5 (-106),78% | 22%,67% | 33%,+11%,"83,864",2026-09-22 00:40
Colts @ Chiefs,Total,Final - OT,o45.5 (+102) | u60.5 (-108),35% | 65%,27% | 73%,+8%,"183,571",2026-09-22 00:40
Giants @ Rams,Moneyline,1ST 5:35,+270 | -251,18% | 82%,21% | 79%,+3%,"235,840",2026-09-22 00:40
Lions @ Bills,Moneyline,Final,+1329 | -228,9% | 91%,16% | 84%,+7%,"292,239",2026-09-22 00:40
Browns @ Buccaneers,Moneyline,Final,+350 | -113,3% | 97%,1% | 99%,+2%,"106,361",2026-09-22 00:40
Packers @ Jets,Moneyline,Final - OT,-153 | +163,91% | 9%,93% | 7%,+2%,"95,556",2026-09-22 00:40
Panthers @ Falcons,Moneyline,Final,-125 | +1567,80% | 20%,84% | 16%,+4%,"91,724",2026-09-22 00:40
Eagles @ Titans,Moneyline,Final,-292 | +488,98% | 2%,85% | 15%,+13%,"116,165",2026-09-22 00:40
Bengals @ Texans,Moneyline,Final,+135 | +203,30% | 70%,63% | 37%,+33%,"117,761",2026-09-22 00:40
Saints @ Ravens,Moneyline,Final,+488 | -360,3% | 97%,3% | 97%,,"115,817",2026-09-22 00:40
Vikings @ Bears,Moneyline,Final,+190 | -156,9% | 91%,5% | 95%,+4%,"125,086",2026-09-22 00:40
Steelers @ Patriots,Moneyline,Final,+614 | -208,16% | 84%,29% | 71%,+13%,"88,922",2026-09-22 00:40
Raiders @ Chargers,Moneyline,Final,+277 | -277,11% | 89%,13% | 87%,+2%,"78,315",2026-09-22 00:40
Jaguars @ Broncos,Moneyline,Final,+124 | -130,38%,54%,+16%,"97,329",2026-09-22 00:40
Commanders @ Cowboys,Moneyline,Final,+190 | -190,14% | 86%,37% | 63%,+23%,"114,696",2026-09-22 00:40
Dolphins @ 49ers,Moneyline,Final,+770 | -770,2% | 98%,3% | 97%,+1%,"85,964",2026-09-22 00:40
Seahawks @ Cardinals,Moneyline,Final,-190 | +190,92% | 8%,91% | 9%,+1%,"83,864",2026-09-22 00:40
Colts @ Chiefs,Moneyline,Final - OT,+257 | -251,3% | 97%,10% | 90%,+7%,"183,571",2026-09-22 00:40
