Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Raiders @ Saints,Spread,"Sun 9/27, 8:25 PM",+3 (+102) | -3.5 (+115),56% | 44%,59% | 41%,+3%,"10,072",2026-09-24 10:54
Rams @ Broncos,Spread,"Mon 9/28, 12:20 AM",-2.5 (-102) | +2.5 (+104),62% | 38%,74% | 26%,+12%,"5,906",2026-09-24 10:54
Eagles @ Bears,Spread,"Tue 9/29, 12:15 AM",-4.5 (-102) | +4.5 (+102),71% | 29%,80% | 20%,+9%,"10,491",2026-09-24 10:54
Titans @ Giants,Total,"Sun 9/27, 5:00 PM",o40.5 (+117) | u38.5 (+111),57% | 43%,51% | 49%,+6%,"7,325",2026-09-24 10:54
Falcons @ Packers,Total,"Fri 9/25, 12:15 AM",o43.5 (+108) | u42.5 (+106),34% | 66%,35% | 65%,+1%,"60,523",2026-09-24 10:54
Patriots @ Jaguars,Total,"Sun 9/27, 5:00 PM",o45.5 (+100) | u45.5 (+102),25% | 75%,32% | 68%,+7%,"15,388",2026-09-24 10:54
Chiefs @ Dolphins,Total,"Sun 9/27, 5:00 PM",o46.5 (+106) | u46.5 (-106),22% | 78%,21% | 79%,+1%,"10,021",2026-09-24 10:54
Bengals @ Steelers,Total,"Sun 9/27, 5:00 PM",o42.5 (+102) | u42.5 (+104),53% | 47%,48% | 52%,+5%,"12,031",2026-09-24 10:54
Seahawks @ Commanders,Total,"Sun 9/27, 5:00 PM",o40.5 (+104) | u39.5 (+111),61% | 39%,57% | 43%,+4%,"11,157",2026-09-24 10:54
Chargers @ Bills,Total,"Sun 9/27, 5:00 PM",o50.5 (+106) | u50.5 (-106),18% | 82%,18% | 82%,,"14,646",2026-09-24 10:54
Panthers @ Browns,Total,"Sun 9/27, 5:00 PM",o42.5 (+106) | u42.5 (-106),60% | 40%,60% | 40%,,"11,117",2026-09-24 10:54
Texans @ Colts,Total,"Sun 9/27, 5:00 PM",o42.5 (-106) | u42.5 (+108),35% | 65%,31% | 69%,+4%,"8,345",2026-09-24 10:54
Jets @ Lions,Total,"Sun 9/27, 5:00 PM",o47.5 (-106) | u47.5 (+106),19% | 81%,29% | 71%,+10%,"12,682",2026-09-24 10:54
Vikings @ Buccaneers,Total,"Sun 9/27, 8:05 PM",o42.5 (+100) | u42.5 (+102),24% | 76%,26% | 74%,+2%,"13,480",2026-09-24 10:54
Cardinals @ 49ers,Total,"Sun 9/27, 8:05 PM",o47.5 (-106) | u47.5 (+106),19% | 81%,16% | 84%,+3%,"8,401",2026-09-24 10:54
Ravens @ Cowboys,Total,"Sun 9/27, 8:25 PM",o52.5 (+100) | u52.5 (+104),13% | 87%,18% | 82%,+5%,"11,980",2026-09-24 10:54
Raiders @ Saints,Total,"Sun 9/27, 8:25 PM",o43.5 (+100) | u43.5 (+102),23% | 77%,22% | 78%,+1%,"10,072",2026-09-24 10:54
Rams @ Broncos,Total,"Mon 9/28, 12:20 AM",o44.5 (+102) | u45.5 (-112),15% | 85%,12% | 88%,+3%,"5,906",2026-09-24 10:54
Eagles @ Bears,Total,"Tue 9/29, 12:15 AM",o41.5 (+108) | u41.5 (-106),52% | 48%,48% | 52%,+4%,"10,491",2026-09-24 10:54
Titans @ Giants,Moneyline,"Sun 9/27, 5:00 PM",+233 | -130,29% | 71%,35% | 65%,+6%,"7,325",2026-09-24 10:54
Falcons @ Packers,Moneyline,"Fri 9/25, 12:15 AM",+257 | -228,8% | 92%,19% | 81%,+11%,"60,523",2026-09-24 10:54
Patriots @ Jaguars,Moneyline,"Sun 9/27, 5:00 PM",+147 | -138,56%,66%,+10%,"15,388",2026-09-24 10:54
Chiefs @ Dolphins,Moneyline,"Sun 9/27, 5:00 PM",-567 | +590,98% | 2%,96% | 4%,+2%,"10,021",2026-09-24 10:54
Bengals @ Steelers,Moneyline,"Sun 9/27, 5:00 PM",-163 | +167,89% | 11%,93% | 7%,+4%,"12,031",2026-09-24 10:54
Seahawks @ Commanders,Moneyline,"Sun 9/27, 5:00 PM",-270 | +292,97% | 3%,99% | 1%,+2%,"11,157",2026-09-24 10:54
Chargers @ Bills,Moneyline,"Sun 9/27, 5:00 PM",+308 | -300,4% | 96%,4% | 96%,,"14,646",2026-09-24 10:54
Panthers @ Browns,Moneyline,"Sun 9/27, 5:00 PM",-138 | +141,88% | 12%,93% | 7%,+5%,"11,117",2026-09-24 10:54
Texans @ Colts,Moneyline,"Sun 9/27, 5:00 PM",-127 | +135,66% | 34%,58% | 42%,+8%,"8,345",2026-09-24 10:54
Jets @ Lions,Moneyline,"Sun 9/27, 5:00 PM",+277 | -277,5% | 95%,2% | 98%,+3%,"12,682",2026-09-24 10:54
Vikings @ Buccaneers,Moneyline,"Sun 9/27, 8:05 PM",-111 | +122,66% | 34%,57% | 43%,+9%,"13,480",2026-09-24 10:54
Cardinals @ 49ers,Moneyline,"Sun 9/27, 8:05 PM",+365 | -365,2% | 98%,1% | 99%,+1%,"8,401",2026-09-24 10:54
Ravens @ Cowboys,Moneyline,"Sun 9/27, 8:25 PM",-150 | +167,82% | 18%,74% | 26%,+8%,"11,980",2026-09-24 10:54
Raiders @ Saints,Moneyline,"Sun 9/27, 8:25 PM",+160 | -160,24% | 76%,35% | 65%,+11%,"10,072",2026-09-24 10:54
Rams @ Broncos,Moneyline,"Mon 9/28, 12:20 AM",-127 | +130,79% | 21%,81% | 19%,+2%,"5,906",2026-09-24 10:54
Eagles @ Bears,Moneyline,"Tue 9/29, 12:15 AM",-178 | +208,90% | 10%,72% | 28%,+18%,"10,491",2026-09-24 10:54
