regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,prior_wins_mae,warps_rmse,pyth_rmse,prior_wins_rmse,n,years
0.65,0.1,7.5,2.3267872194116563,2.4003287119947974,2.72972972972973,2.7870855458184547,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.15,7.5,2.3267872194116563,2.4003287119947974,2.72972972972973,2.7870855458184547,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.2,7.5,2.3267872194116563,2.4003287119947974,2.72972972972973,2.7870855458184547,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.25,7.5,2.3267872194116563,2.4003287119947974,2.72972972972973,2.7870855458184547,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.3,7.5,2.3267872194116563,2.4003287119947974,2.72972972972973,2.7870855458184547,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.0,7.0,2.328378976823664,2.4003287119947974,2.72972972972973,2.7886401975191024,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.1,7.0,2.328378976823664,2.4003287119947974,2.72972972972973,2.7886401975191024,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.15,7.0,2.328378976823664,2.4003287119947974,2.72972972972973,2.7886401975191024,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.2,7.0,2.328378976823664,2.4003287119947974,2.72972972972973,2.7886401975191024,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.25,7.0,2.328378976823664,2.4003287119947974,2.72972972972973,2.7886401975191024,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.3,7.0,2.328378976823664,2.4003287119947974,2.72972972972973,2.7886401975191024,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.0,6.5,2.330228531796981,2.4003287119947974,2.72972972972973,2.7905115740364788,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.1,6.5,2.330228531796981,2.4003287119947974,2.72972972972973,2.7905115740364788,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.15,6.5,2.330228531796981,2.4003287119947974,2.72972972972973,2.7905115740364788,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.2,6.5,2.330228531796981,2.4003287119947974,2.72972972972973,2.7905115740364788,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.25,6.5,2.330228531796981,2.4003287119947974,2.72972972972973,2.7905115740364788,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.3,6.5,2.330228531796981,2.4003287119947974,2.72972972972973,2.7905115740364788,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.0,6.0,2.332402929227176,2.4003287119947974,2.72972972972973,2.792800820158835,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.1,6.0,2.332402929227176,2.4003287119947974,2.72972972972973,2.792800820158835,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.15,6.0,2.332402929227176,2.4003287119947974,2.72972972972973,2.792800820158835,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.2,6.0,2.332402929227176,2.4003287119947974,2.72972972972973,2.792800820158835,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.25,6.0,2.332402929227176,2.4003287119947974,2.72972972972973,2.792800820158835,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.3,6.0,2.332402929227176,2.4003287119947974,2.72972972972973,2.792800820158835,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.0,7.5,2.3366829507845264,2.4003287119947974,2.72972972972973,2.7975809913317984,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.1,7.5,2.3366829507845264,2.4003287119947974,2.72972972972973,2.7975809913317984,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.15,7.5,2.3366829507845264,2.4003287119947974,2.72972972972973,2.7975809913317984,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.2,7.5,2.3366829507845264,2.4003287119947974,2.72972972972973,2.7975809913317984,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.25,7.5,2.3366829507845264,2.4003287119947974,2.72972972972973,2.7975809913317984,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.3,7.5,2.3366829507845264,2.4003287119947974,2.72972972972973,2.7975809913317984,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.0,7.0,2.3392138505686906,2.4003287119947974,2.72972972972973,2.8003022129261064,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.1,7.0,2.3392138505686906,2.4003287119947974,2.72972972972973,2.8003022129261064,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.15,7.0,2.3392138505686906,2.4003287119947974,2.72972972972973,2.8003022129261064,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.2,7.0,2.3392138505686906,2.4003287119947974,2.72972972972973,2.8003022129261064,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.25,7.0,2.3392138505686906,2.4003287119947974,2.72972972972973,2.8003022129261064,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.3,7.0,2.3392138505686906,2.4003287119947974,2.72972972972973,2.8003022129261064,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.0,6.5,2.342379883227804,2.4003287119947974,2.72972972972973,2.8035896567932563,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.1,6.5,2.342379883227804,2.4003287119947974,2.72972972972973,2.8035896567932563,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.15,6.5,2.342379883227804,2.4003287119947974,2.72972972972973,2.8035896567932563,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.2,6.5,2.342379883227804,2.4003287119947974,2.72972972972973,2.8035896567932563,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.25,6.5,2.342379883227804,2.4003287119947974,2.72972972972973,2.8035896567932563,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.3,6.5,2.342379883227804,2.4003287119947974,2.72972972972973,2.8035896567932563,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.0,7.5,2.3483311711719175,2.4003287119947974,2.72972972972973,2.8101422309246478,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.1,7.5,2.3483311711719175,2.4003287119947974,2.72972972972973,2.8101422309246478,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.15,7.5,2.3483311711719175,2.4003287119947974,2.72972972972973,2.8101422309246478,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.2,7.5,2.3483311711719175,2.4003287119947974,2.72972972972973,2.8101422309246478,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.25,7.5,2.3483311711719175,2.4003287119947974,2.72972972972973,2.8101422309246478,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.3,7.5,2.3483311711719175,2.4003287119947974,2.72972972972973,2.8101422309246478,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.0,7.0,2.3523113804541955,2.4003287119947974,2.72972972972973,2.814338103736228,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.1,7.0,2.3523113804541955,2.4003287119947974,2.72972972972973,2.814338103736228,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.15,7.0,2.3523113804541955,2.4003287119947974,2.72972972972973,2.814338103736228,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.2,7.0,2.3523113804541955,2.4003287119947974,2.72972972972973,2.814338103736228,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.25,7.0,2.3523113804541955,2.4003287119947974,2.72972972972973,2.814338103736228,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.3,7.0,2.3523113804541955,2.4003287119947974,2.72972972972973,2.814338103736228,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.0,7.5,2.3619677634499414,2.4003287119947974,2.72972972972973,2.8248001358159205,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.1,7.5,2.3619677634499414,2.4003287119947974,2.72972972972973,2.8248001358159205,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.15,7.5,2.3619677634499414,2.4003287119947974,2.72972972972973,2.8248001358159205,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.2,7.5,2.3619677634499414,2.4003287119947974,2.72972972972973,2.8248001358159205,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.25,7.5,2.3619677634499414,2.4003287119947974,2.72972972972973,2.8248001358159205,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.3,7.5,2.3619677634499414,2.4003287119947974,2.72972972972973,2.8248001358159205,2.9640929337936237,3.4242116209757283,223,2015-2021
