model,side,edge_threshold,price_edge_threshold,model_prob_threshold,min_agreement_count,bets,wins,pushes,losses,win_pct,units,roi_pct,seasons,profitable_seasons,profitable_season_pct,worst_season_units
WARPS v1.5d,ALL,1.5,0.05,0.6,2,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.05,0.6,3,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.05,0.6,4,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.1,0.5,1,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.1,0.5,2,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.1,0.5,3,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.1,0.5,4,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.1,0.55,1,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.1,0.55,2,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.1,0.55,3,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.1,0.55,4,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.1,0.6,1,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.1,0.6,2,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.1,0.6,3,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.1,0.6,4,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,2.0,0.0,0.5,1,5,2,0,3,40.0,-1.0,-20.0,3,1,33.33,-2.0
WARPS v1.5d,ALL,2.0,0.0,0.5,2,5,2,0,3,40.0,-1.0,-20.0,3,1,33.33,-2.0
WARPS v1.5d,ALL,2.0,0.0,0.5,3,5,2,0,3,40.0,-1.0,-20.0,3,1,33.33,-2.0
WARPS v1.5d,ALL,2.0,0.0,0.5,4,5,2,0,3,40.0,-1.0,-20.0,3,1,33.33,-2.0
WARPS v1.5d,ALL,2.0,0.0,0.55,1,5,2,0,3,40.0,-1.0,-20.0,3,1,33.33,-2.0
WARPS v1.5d,ALL,2.0,0.0,0.55,2,5,2,0,3,40.0,-1.0,-20.0,3,1,33.33,-2.0
