w_pyth_edge,w_pass_epa,w_point_diff,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.1,0.25,0.65,0.75,0.0,5.5,2.36345527464734,2.5877737034133133,2.8815977175463625,2.8731763409598727,702,2000-2021
0.35,0.3,0.35,0.75,0.0,5.5,2.36348448349193,2.5877737034133133,2.8815977175463625,2.874936793246878,702,2000-2021
0.3,0.3,0.4,0.75,0.0,5.5,2.3636823655270067,2.5877737034133133,2.8815977175463625,2.8748816858087163,702,2000-2021
0.05,0.25,0.7,0.75,0.0,5.5,2.3637556448082053,2.5877737034133133,2.8815977175463625,2.8732458407972175,702,2000-2021
0.25,0.3,0.45,0.75,0.0,5.5,2.363929268719796,2.5877737034133133,2.8815977175463625,2.8748513088370204,702,2000-2021
0.0,0.25,0.75,0.75,0.0,5.5,2.3640551606909788,2.5877737034133133,2.8815977175463625,2.873339838224163,702,2000-2021
0.2,0.3,0.5,0.75,0.0,5.5,2.364229599797727,2.5877737034133133,2.8815977175463625,2.8748456205237787,702,2000-2021
0.65,0.35,0.0,0.75,0.0,5.5,2.3643723043654488,2.5877737034133133,2.8815977175463625,2.8779163410003794,702,2000-2021
0.6,0.35,0.05,0.75,0.0,5.5,2.364464032157203,2.5877737034133133,2.8815977175463625,2.877710694568297,702,2000-2021
0.15,0.3,0.55,0.75,0.0,5.5,2.364530433706047,2.5877737034133133,2.8815977175463625,2.8748645772139643,702,2000-2021
0.55,0.35,0.1,0.75,0.0,5.5,2.3645551569029943,2.5877737034133133,2.8815977175463625,2.8775299876781726,702,2000-2021
0.5,0.35,0.15,0.75,0.0,5.5,2.36466247379316,2.5877737034133133,2.8815977175463625,2.8773741900071266,702,2000-2021
0.1,0.3,0.6,0.75,0.0,5.5,2.364830400324091,2.5877737034133133,2.8815977175463625,2.8749081334268354,702,2000-2021
0.45,0.35,0.2,0.75,0.0,5.5,2.364835891076523,2.5877737034133133,2.8815977175463625,2.877243269264748,702,2000-2021
0.4,0.35,0.25,0.75,0.0,5.5,2.3650086082724164,2.5877737034133133,2.8815977175463625,2.877137191212291,702,2000-2021
0.05,0.3,0.65,0.75,0.0,5.5,2.3651294962506326,2.5877737034133133,2.8815977175463625,2.8749762418775346,702,2000-2021
0.35,0.35,0.3,0.75,0.0,5.5,2.365180623157484,2.5877737034133133,2.8815977175463625,2.8770559196822805,702,2000-2021
0.3,0.35,0.35,0.75,0.0,5.5,2.3653689159818314,2.5877737034133133,2.8815977175463625,2.8769994165984905,702,2000-2021
0.0,0.3,0.7,0.75,0.0,5.5,2.3654277181576635,2.5877737034133133,2.8815977175463625,2.875068853498982,702,2000-2021
0.25,0.35,0.4,0.75,0.0,5.5,2.3655901293048585,2.5877737034133133,2.8815977175463625,2.87696764199629,702,2000-2021
0.2,0.35,0.45,0.75,0.0,5.5,2.365838299378619,2.5877737034133133,2.8815977175463625,2.8769605540433387,702,2000-2021
0.15,0.35,0.5,0.75,0.0,5.5,2.3661383152536346,2.5877737034133133,2.8815977175463625,2.876978109060616,702,2000-2021
0.1,0.35,0.55,0.75,0.0,5.5,2.366450872161816,2.5877737034133133,2.8815977175463625,2.877020261543762,702,2000-2021
0.6,0.4,0.0,0.75,0.0,5.5,2.3664768524235322,2.5877737034133133,2.8815977175463625,2.8802161851299166,702,2000-2021
0.55,0.4,0.05,0.75,0.0,5.5,2.3665773141257196,2.5877737034133133,2.8815977175463625,2.880034156219849,702,2000-2021
0.5,0.4,0.1,0.75,0.0,5.5,2.3666771422227733,2.5877737034133133,2.8815977175463625,2.8798770268316645,702,2000-2021
0.05,0.35,0.6,0.75,0.0,5.5,2.3667665484974667,2.5877737034133133,2.8815977175463625,2.877086964184726,702,2000-2021
0.45,0.4,0.15,0.75,0.0,5.5,2.366832675170184,2.5877737034133133,2.8815977175463625,2.8797447646604315,702,2000-2021
0.4,0.4,0.2,0.75,0.0,5.5,2.3670069115086534,2.5877737034133133,2.8815977175463625,2.879637335453952,702,2000-2021
0.0,0.35,0.65,0.75,0.0,5.5,2.367081307427831,2.5877737034133133,2.8815977175463625,2.8771781678936943,702,2000-2021
0.35,0.4,0.25,0.75,0.0,5.5,2.367181758691123,2.5877737034133133,2.8815977175463625,2.8795547030324102,702,2000-2021
0.3,0.4,0.3,0.75,0.0,5.5,2.367366160678509,2.5877737034133133,2.8815977175463625,2.879496829308405,702,2000-2021
0.25,0.4,0.35,0.75,0.0,5.5,2.367565929543824,2.5877737034133133,2.8815977175463625,2.879463674307338,702,2000-2021
0.2,0.4,0.4,0.75,0.0,5.5,2.3677648891988077,2.5877737034133133,2.8815977175463625,2.8794551961881503,702,2000-2021
0.15,0.4,0.45,0.75,0.0,5.5,2.3679683992522627,2.5877737034133133,2.8815977175463625,2.8794713512643884,702,2000-2021
0.1,0.4,0.5,0.75,0.0,5.5,2.3682172548545486,2.5877737034133133,2.8815977175463625,2.8795120940255816,702,2000-2021
0.05,0.4,0.55,0.75,0.0,5.5,2.368514832330343,2.5877737034133133,2.8815977175463625,2.879577377158915,702,2000-2021
0.0,0.4,0.6,0.75,0.0,5.5,2.3688634401490307,2.5877737034133133,2.8815977175463625,2.879667151571187,702,2000-2021
0.55,0.45,-0.0,0.75,0.0,5.5,2.369012594317546,2.5877737034133133,2.8815977175463625,2.8829166823290535,702,2000-2021
0.5,0.45,0.05,0.75,0.0,5.5,2.369066439892851,2.5877737034133133,2.8815977175463625,2.8827582781312615,702,2000-2021
0.45,0.45,0.1,0.75,0.0,5.5,2.369164639397235,2.5877737034133133,2.8815977175463625,2.882624723627182,702,2000-2021
0.4,0.45,0.15,0.75,0.0,5.5,2.3693166626099766,2.5877737034133133,2.8815977175463625,2.882515984562832,702,2000-2021
0.35,0.45,0.2,0.75,0.0,5.5,2.369489339484233,2.5877737034133133,2.8815977175463625,2.882432024758731,702,2000-2021
0.3,0.45,0.25,0.75,0.0,5.5,2.3696892620704157,2.5877737034133133,2.8815977175463625,2.882372806129962,702,2000-2021
0.25,0.45,0.3,0.75,0.0,5.5,2.3698883468021252,2.5877737034133133,2.8815977175463625,2.8823382887065963,702,2000-2021
0.2,0.45,0.35,0.75,0.0,5.5,2.370086590422351,2.5877737034133133,2.8815977175463625,2.882328430654456,702,2000-2021
