w_pyth_edge,w_pass_epa,w_point_diff,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.15,0.45,0.4,0.75,0.0,5.5,2.3702839897542485,2.5877737034133133,2.8815977175463625,2.882343188296203,702,2000-2021
0.1,0.45,0.45,0.75,0.0,5.5,2.370489815681284,2.5877737034133133,2.8815977175463625,2.882382516132739,702,2000-2021
0.05,0.45,0.5,0.75,0.0,5.5,2.3707342162193674,2.5877737034133133,2.8815977175463625,2.8824463668648916,702,2000-2021
0.0,0.45,0.55,0.75,0.0,5.5,2.371072918612972,2.5877737034133133,2.8815977175463625,2.8825346914153864,702,2000-2021
0.5,0.5,0.0,0.75,0.0,5.5,2.3719362123745524,2.5877737034133133,2.8815977175463625,2.8860163949586704,702,2000-2021
0.45,0.5,0.05,0.75,0.0,5.5,2.3720186954709352,2.5877737034133133,2.8815977175463625,2.8858815978806116,702,2000-2021
0.4,0.5,0.1,0.75,0.0,5.5,2.3721706846403183,2.5877737034133133,2.8815977175463625,2.8857715909450437,702,2000-2021
0.35,0.5,0.15,0.75,0.0,5.5,2.3723434128860856,2.5877737034133133,2.8815977175463625,2.8856863379854643,702,2000-2021
0.3,0.5,0.2,0.75,0.0,5.5,2.3725202081755103,2.5877737034133133,2.8815977175463625,2.885625800933071,702,2000-2021
0.25,0.5,0.25,0.75,0.0,5.5,2.3726961083791904,2.5877737034133133,2.8815977175463625,2.885589939837201,702,2000-2021
0.2,0.5,0.3,0.75,0.0,5.5,2.372871110394278,2.5877737034133133,2.8815977175463625,2.8855787128861095,702,2000-2021
0.15,0.5,0.35,0.75,0.0,5.5,2.373065465079166,2.5877737034133133,2.8815977175463625,2.8855920764280705,702,2000-2021
0.1,0.5,0.4,0.75,0.0,5.5,2.373277067171027,2.5877737034133133,2.8815977175463625,2.8856299849927796,702,2000-2021
0.05,0.5,0.45,0.75,0.0,5.5,2.3735451759835806,2.5877737034133133,2.8815977175463625,2.885692391313047,702,2000-2021
0.0,0.5,0.5,0.75,0.0,5.5,2.3738147265915726,2.5877737034133133,2.8815977175463625,2.885779246346764,702,2000-2021
0.45,0.55,0.0,0.75,0.0,5.5,2.3751910426824963,2.5877737034133133,2.8815977175463625,2.889513365045126,702,2000-2021
0.4,0.55,0.05,0.75,0.0,5.5,2.3753333425243564,2.5877737034133133,2.8815977175463625,2.889402132866743,702,2000-2021
0.35,0.55,0.1,0.75,0.0,5.5,2.375515390792799,2.5877737034133133,2.8815977175463625,2.8893156216648865,702,2000-2021
0.3,0.55,0.15,0.75,0.0,5.5,2.375696523061524,2.5877737034133133,2.8815977175463625,2.8892537934004348,702,2000-2021
0.25,0.55,0.2,0.75,0.0,5.5,2.3758767360750817,2.5877737034133133,2.8815977175463625,2.889216608156515,702,2000-2021
0.2,0.55,0.25,0.75,0.0,5.5,2.3760560266651374,2.5877737034133133,2.8815977175463625,2.8892040241592887,702,2000-2021
0.15,0.55,0.3,0.75,0.0,5.5,2.376236241450394,2.5877737034133133,2.8815977175463625,2.8892159977990426,702,2000-2021
0.1,0.55,0.35,0.75,0.0,5.5,2.3764869286415733,2.5877737034133133,2.8815977175463625,2.8892524836515907,702,2000-2021
0.05,0.55,0.4,0.75,0.0,5.5,2.376736467252458,2.5877737034133133,2.8815977175463625,2.889313434499954,702,2000-2021
0.0,0.55,0.45,0.75,0.0,5.5,2.3769875076095315,2.5877737034133133,2.8815977175463625,2.8893988013563074,702,2000-2021
0.4,0.6,0.0,0.75,0.0,5.5,2.3787411780027954,2.5877737034133133,2.8815977175463625,2.8934051480144816,702,2000-2021
0.35,0.6,0.05,0.75,0.0,5.5,2.3789077537258985,2.5877737034133133,2.8815977175463625,2.8933174141609173,702,2000-2021
0.3,0.6,0.1,0.75,0.0,5.5,2.379073402618579,2.5877737034133133,2.8815977175463625,2.8932543226318876,702,2000-2021
0.25,0.6,0.15,0.75,0.0,5.5,2.379244325821132,2.5877737034133133,2.8815977175463625,2.893215833558732,702,2000-2021
0.2,0.6,0.2,0.75,0.0,5.5,2.3794179330562124,2.5877737034133133,2.8815977175463625,2.893201905220866,702,2000-2021
0.15,0.6,0.25,0.75,0.0,5.5,2.379651351992696,2.5877737034133133,2.8815977175463625,2.893212494066868,702,2000-2021
0.1,0.6,0.3,0.75,0.0,5.5,2.3798960690504405,2.5877737034133133,2.8815977175463625,2.8932475547358485,702,2000-2021
0.05,0.6,0.35,0.75,0.0,5.5,2.3801396222103812,2.5877737034133133,2.8815977175463625,2.893307040079113,702,2000-2021
0.0,0.6,0.4,0.75,0.0,5.5,2.3803927424240574,2.5877737034133133,2.8815977175463625,2.8933909011820793,702,2000-2021
0.35,0.65,0.0,0.75,0.0,5.5,2.382518470689189,2.5877737034133133,2.8815977175463625,2.897688825586861,702,2000-2021
0.3,0.65,0.05,0.75,0.0,5.5,2.382694489888729,2.5877737034133133,2.8815977175463625,2.89762449947967,702,2000-2021
0.25,0.65,0.1,0.75,0.0,5.5,2.382869569968931,2.5877737034133133,2.8815977175463625,2.8975847277084332,702,2000-2021
0.2,0.65,0.15,0.75,0.0,5.5,2.3830898522822297,2.5877737034133133,2.8815977175463625,2.8975694686210245,702,2000-2021
0.15,0.65,0.2,0.75,0.0,5.5,2.3833481920945103,2.5877737034133133,2.8815977175463625,2.8975786787404125,702,2000-2021
0.1,0.65,0.25,0.75,0.0,5.5,2.383607608097283,2.5877737034133133,2.8815977175463625,2.897612312786006,702,2000-2021
0.05,0.65,0.3,0.75,0.0,5.5,2.383865866678118,2.5877737034133133,2.8815977175463625,2.8976703236952717,702,2000-2021
