team,v17_wins,market_total,v17_edge,v17_signal,v15d_wins,v15d_edge,v15d_signal,v16_wins,v16_edge,v16_signal,consensus,avg_edge,min_edge,max_edge,edge_range
DEN,9.526059154574403,9.5,0.02605915457440311,No bet / lean only,9.192612675491096,-0.3073873245089054,No bet / lean only,9.547506999504606,0.0475069995046055,No bet / lean only,Split / No bet,-0.07794039014329891,-0.3073873245089054,0.0475069995046055,0.3548943240135109
DET,10.43987082441064,10.5,-0.06012917558935982,No bet / lean only,10.05120649844772,-0.448793501552279,No bet / lean only,10.433033035860475,-0.0669669641395227,No bet / lean only,Split / No bet,-0.19196321376038716,-0.448793501552279,-0.06012917558935982,0.38866432596291917
TB,8.267342638763058,8.5,-0.23265736123694225,No bet / lean only,8.226685548205639,-0.2733144517943611,No bet / lean only,8.272541197514293,-0.2274588024857067,No bet / lean only,Split / No bet,-0.24447687183900335,-0.2733144517943611,-0.2274588024857067,0.04585564930865438
TEN,5.79896816028854,6.5,-0.7010318397114599,No bet / lean only,6.782303434085615,0.2823034340856152,No bet / lean only,5.803303537071679,-0.6966964629283208,No bet / lean only,Split / No bet,-0.37180828951805517,-0.7010318397114599,0.2823034340856152,0.9833352737970751
LAR,11.122258288948938,11.5,-0.3777417110510619,No bet / lean only,10.784646677650086,-0.7153533223499142,No bet / lean only,11.095224626508678,-0.4047753734913222,No bet / lean only,Split / No bet,-0.49929013563076613,-0.7153533223499142,-0.3777417110510619,0.3376116112988523
GB,8.939880360830537,9.5,-0.5601196391694625,No bet / lean only,9.092107140653072,-0.4078928593469282,No bet / lean only,8.947836892681348,-0.5521631073186519,No bet / lean only,Split / No bet,-0.5067252019450142,-0.5601196391694625,-0.4078928593469282,0.1522267798225343
LAC,8.6473852497028,9.5,-0.8526147502971995,No bet / lean only,8.80987304898621,-0.6901269510137897,No bet / lean only,8.654108640019567,-0.845891359980433,No bet / lean only,Split / No bet,-0.7962110204304741,-0.8526147502971995,-0.6901269510137897,0.16248779928340973
MIN,8.765378512299309,9.5,-0.7346214877006911,No bet / lean only,8.514316880354595,-0.9856831196454046,No bet / lean only,8.773347214894914,-0.7266527851050864,No bet / lean only,Split / No bet,-0.815652464150394,-0.9856831196454046,-0.7266527851050864,0.2590303345403182
LV,5.281661807781768,6.5,-1.2183381922182317,Playable Under,6.488278088209654,-0.0117219117903459,No bet / lean only,5.259097953186938,-1.240902046813062,Playable Under,Split / No bet,-0.82365405027388,-1.240902046813062,-0.0117219117903459,1.229180135022716
CIN,8.424497716550865,9.5,-1.0755022834491346,Playable Under,8.291430719838306,-1.2085692801616936,Playable Under,8.442341843797458,-1.0576581562025424,Playable Under,2-Strong Under,-1.1139099066044569,-1.2085692801616936,-1.0576581562025424,0.15091112395915118
CHI,8.269240311726836,9.5,-1.2307596882731637,Playable Under,8.227803700173379,-1.2721962998266214,Playable Under,8.271313228406148,-1.2286867715938516,Playable Under,2-Strong Under,-1.2438809198978789,-1.2721962998266214,-1.2286867715938516,0.04350952823276977
SF,9.506247390363566,10.5,-0.9937526096364344,No bet / lean only,8.709590018696316,-1.790409981303684,Strong Under,9.507963270858744,-0.9920367291412564,No bet / lean only,Split / No bet,-1.2587331066937917,-1.790409981303684,-0.9920367291412564,0.7983732521624276
DAL,7.989930608757921,9.5,-1.5100693912420793,Strong Under,8.005042655024406,-1.4949573449755942,Playable Under,7.998430680565093,-1.501569319434907,Strong Under,3-model Under,-1.5021986852175269,-1.5100693912420793,-1.4949573449755942,0.015112046266485102
NYJ,4.762066315563913,6.5,-1.7379336844360873,Strong Under,5.443957164719548,-1.0560428352804525,Playable Under,4.7819768989388605,-1.7180231010611395,Strong Under,3-model Under,-1.5039998735925597,-1.7379336844360873,-1.0560428352804525,0.6818908491556348
BAL,9.8666781697793,11.5,-1.6333218302206998,Strong Under,9.483162252727086,-2.0168377472729144,Strong Under,9.869648784140557,-1.630351215859445,Strong Under,3-model Under,-1.7601702644510198,-2.0168377472729144,-1.630351215859445,0.38648653141346934
KC,9.764805799439976,11.5,-1.7351942005600236,Strong Under,9.32095556035192,-2.179044439648079,Strong Under,9.77605176970709,-1.72394823029291,Strong Under,3-model Under,-1.8793956235003375,-2.179044439648079,-1.72394823029291,0.4550962093551689
PHI,9.419391205824684,11.5,-2.0806087941753155,Strong Under,9.144809299083066,-2.3551907009169337,Strong Under,9.433119149093804,-2.0668808509061947,Strong Under,3-model Under,-2.167560115332815,-2.3551907009169337,-2.0668808509061947,0.28830985001073905
BUF,10.323711637662276,12.5,-2.176288362337724,Strong Under,9.87347388227159,-2.6265261177284103,Strong Under,10.31466185925302,-2.18533814074698,Strong Under,3-model Under,-2.329384206937705,-2.6265261177284103,-2.176288362337724,0.45023775539068644
