w_pass_epa,w_rush_epa,w_success,w_explosive,w_point_diff,w_pyth_edge,w_turnover,config_name,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,prior_wins_mae,warps_rmse,pyth_rmse,prior_wins_rmse,n,years
0.1319514211331769,0.12304451831723259,0.49458835622102515,0.014340548025940834,0.011472725478925213,0.13447267711335079,0.09012975371034859,random_0227,0.65,0.0,6.5,2.3015119653071374,2.4003287119947974,2.72972972972973,2.757403670201136,2.9640929337936237,3.4242116209757283,223,2015-2021
0.12437700144729309,0.03735374671069305,0.3526240494808568,0.019165039991995345,0.06626411622390209,0.3365226100542347,0.06369343609102494,random_0174,0.65,0.0,6.5,2.3020671412466576,2.4003287119947974,2.72972972972973,2.7548458663655833,2.9640929337936237,3.4242116209757283,223,2015-2021
0.00970833734601897,0.10221174343923232,0.4411572711436657,0.09376924689436085,0.12570567880164213,0.15068817229352094,0.07675955008155896,random_0068,0.65,0.0,6.5,2.3022251044642967,2.4003287119947974,2.72972972972973,2.7583673557583586,2.9640929337936237,3.4242116209757283,223,2015-2021
0.008893242217611619,0.10390514506363674,0.40282747496765225,0.017131162467070152,0.22239279760040775,0.08107508295085258,0.1637750947327689,random_0452,0.65,0.0,6.5,2.3026258702417715,2.4003287119947974,2.72972972972973,2.759753290246158,2.9640929337936237,3.4242116209757283,223,2015-2021
0.023282674170113277,0.00547206168240453,0.41973212712200475,0.1586678128253922,0.2634964278647001,0.1086998785146956,0.020649017820689588,random_0178,0.65,0.0,6.5,2.3027723755857705,2.4003287119947974,2.72972972972973,2.7577114855728007,2.9640929337936237,3.4242116209757283,223,2015-2021
0.15919186594059775,0.10169361712398474,0.38035144362751233,0.054565824013471445,0.03908014168823341,0.23572219027845953,0.029394917327740754,random_0066,0.65,0.0,6.5,2.303417218273538,2.4003287119947974,2.72972972972973,2.7590156320633397,2.9640929337936237,3.4242116209757283,223,2015-2021
0.0256640347083993,0.10748426500645657,0.37317829437536737,0.09867428152562557,0.17286718803154325,0.18057765626561476,0.041554280086993294,random_0280,0.65,0.0,6.5,2.3036029003263963,2.4003287119947974,2.72972972972973,2.760097288925414,2.9640929337936237,3.4242116209757283,223,2015-2021
0.007838430341612536,0.04792491539065381,0.16580853531895337,0.057848311895065466,0.5977813525798202,0.08336212452647905,0.03943632994741551,random_0471,0.65,0.0,6.5,2.3043074386684816,2.4003287119947974,2.72972972972973,2.763829828932981,2.9640929337936237,3.4242116209757283,223,2015-2021
0.013197026715171017,0.12661551298541587,0.20442442494246868,0.05667987718474324,0.17693498012557962,0.395169132499053,0.026979045547568685,random_0298,0.65,0.0,6.5,2.3043612006457237,2.4003287119947974,2.72972972972973,2.764795952836756,2.9640929337936237,3.4242116209757283,223,2015-2021
0.00357622719547713,0.17348856502005117,0.2116595082694982,0.006247713114209288,0.09699452785173307,0.46049005466745685,0.047543403881574305,random_0249,0.65,0.0,6.5,2.30436824908402,2.4003287119947974,2.72972972972973,2.7658853275319575,2.9640929337936237,3.4242116209757283,223,2015-2021
0.008592752441133495,0.06907852703553989,0.4263865295966353,0.15142212962015647,0.16420796067103677,0.14758062548763695,0.03273147514786109,random_0432,0.65,0.0,6.5,2.3044087477615087,2.4003287119947974,2.72972972972973,2.7602798248804845,2.9640929337936237,3.4242116209757283,223,2015-2021
0.03241480330808431,0.02942115374082004,0.3799722310048809,0.05252965902159567,0.23415468329348113,0.10490778308182437,0.1665996865493136,random_0032,0.65,0.0,6.5,2.3047773615096223,2.4003287119947974,2.72972972972973,2.7587640732226606,2.9640929337936237,3.4242116209757283,223,2015-2021
0.03772217406038878,0.13861066090424226,0.27103022697805956,0.06078112307227227,0.21890830141681908,0.23496279169968423,0.0379847218685338,random_0401,0.65,0.0,6.5,2.30479132778264,2.4003287119947974,2.72972972972973,2.763733831483795,2.9640929337936237,3.4242116209757283,223,2015-2021
0.030310477387896176,0.004190467522193425,0.24454301467812115,0.15137253681213597,0.1848027042504189,0.37134541695504253,0.013435382394191746,random_0157,0.65,0.0,6.5,2.304808030832539,2.4003287119947974,2.72972972972973,2.7638904427202453,2.9640929337936237,3.4242116209757283,223,2015-2021
0.042874463991375726,0.08196726750608396,0.12846116721367848,0.01082822334458394,0.13894104791735457,0.5668424099912905,0.030085420035632776,random_0399,0.65,0.0,6.5,2.304884617870378,2.4003287119947974,2.72972972972973,2.7652253953654555,2.9640929337936237,3.4242116209757283,223,2015-2021
0.1115857296607634,0.06751987248518317,0.5308721046197523,0.016551776447449283,0.07745691373058201,0.0060558946950448785,0.1899577083612251,random_0314,0.65,0.0,6.5,2.3053322381561587,2.4003287119947974,2.72972972972973,2.760230116866774,2.9640929337936237,3.4242116209757283,223,2015-2021
