regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.7,0.2,7.5,2.35720958417563,2.5877737034133133,2.8815977175463625,2.854323279179526,702,2000-2021
0.7,0.25,7.5,2.35720958417563,2.5877737034133133,2.8815977175463625,2.854323279179526,702,2000-2021
0.7,0.3,7.5,2.35720958417563,2.5877737034133133,2.8815977175463625,2.854323279179526,702,2000-2021
0.65,0.0,7.0,2.35758264586787,2.5877737034133133,2.8815977175463625,2.8545679007455904,702,2000-2021
0.65,0.1,7.0,2.35758264586787,2.5877737034133133,2.8815977175463625,2.8545679007455904,702,2000-2021
0.65,0.15,7.0,2.35758264586787,2.5877737034133133,2.8815977175463625,2.8545679007455904,702,2000-2021
0.65,0.2,7.0,2.35758264586787,2.5877737034133133,2.8815977175463625,2.8545679007455904,702,2000-2021
0.65,0.25,7.0,2.35758264586787,2.5877737034133133,2.8815977175463625,2.8545679007455904,702,2000-2021
0.65,0.3,7.0,2.35758264586787,2.5877737034133133,2.8815977175463625,2.8545679007455904,702,2000-2021
0.75,0.0,5.5,2.3576778258378224,2.5877737034133133,2.8815977175463625,2.87145749231609,702,2000-2021
0.75,0.1,5.5,2.3576778258378224,2.5877737034133133,2.8815977175463625,2.87145749231609,702,2000-2021
0.75,0.15,5.5,2.3576778258378224,2.5877737034133133,2.8815977175463625,2.87145749231609,702,2000-2021
0.75,0.2,5.5,2.3576778258378224,2.5877737034133133,2.8815977175463625,2.87145749231609,702,2000-2021
0.75,0.25,5.5,2.3576778258378224,2.5877737034133133,2.8815977175463625,2.87145749231609,702,2000-2021
0.75,0.3,5.5,2.3576778258378224,2.5877737034133133,2.8815977175463625,2.87145749231609,702,2000-2021
0.6,0.0,6.5,2.358064805478454,2.5877737034133133,2.8815977175463625,2.8548738855828493,702,2000-2021
0.6,0.1,6.5,2.358064805478454,2.5877737034133133,2.8815977175463625,2.8548738855828493,702,2000-2021
0.6,0.15,6.5,2.358064805478454,2.5877737034133133,2.8815977175463625,2.8548738855828493,702,2000-2021
0.6,0.2,6.5,2.358064805478454,2.5877737034133133,2.8815977175463625,2.8548738855828493,702,2000-2021
0.6,0.25,6.5,2.358064805478454,2.5877737034133133,2.8815977175463625,2.8548738855828493,702,2000-2021
0.6,0.3,6.5,2.358064805478454,2.5877737034133133,2.8815977175463625,2.8548738855828493,702,2000-2021
0.55,0.0,6.0,2.35864419906146,2.5877737034133133,2.8815977175463625,2.855264048893892,702,2000-2021
0.55,0.1,6.0,2.35864419906146,2.5877737034133133,2.8815977175463625,2.855264048893892,702,2000-2021
0.55,0.15,6.0,2.35864419906146,2.5877737034133133,2.8815977175463625,2.855264048893892,702,2000-2021
0.55,0.2,6.0,2.35864419906146,2.5877737034133133,2.8815977175463625,2.855264048893892,702,2000-2021
0.55,0.25,6.0,2.35864419906146,2.5877737034133133,2.8815977175463625,2.855264048893892,702,2000-2021
0.55,0.3,6.0,2.35864419906146,2.5877737034133133,2.8815977175463625,2.855264048893892,702,2000-2021
0.5,0.0,5.5,2.3593878841907805,2.5877737034133133,2.8815977175463625,2.855772875724699,702,2000-2021
0.5,0.1,5.5,2.3593878841907805,2.5877737034133133,2.8815977175463625,2.855772875724699,702,2000-2021
0.5,0.15,5.5,2.3593878841907805,2.5877737034133133,2.8815977175463625,2.855772875724699,702,2000-2021
0.5,0.2,5.5,2.3593878841907805,2.5877737034133133,2.8815977175463625,2.855772875724699,702,2000-2021
0.5,0.25,5.5,2.3593878841907805,2.5877737034133133,2.8815977175463625,2.855772875724699,702,2000-2021
0.5,0.3,5.5,2.3593878841907805,2.5877737034133133,2.8815977175463625,2.855772875724699,702,2000-2021
0.65,0.0,7.5,2.3620552538332333,2.5877737034133133,2.8815977175463625,2.857811555449721,702,2000-2021
0.65,0.1,7.5,2.3620552538332333,2.5877737034133133,2.8815977175463625,2.857811555449721,702,2000-2021
0.65,0.15,7.5,2.3620552538332333,2.5877737034133133,2.8815977175463625,2.857811555449721,702,2000-2021
0.65,0.2,7.5,2.3620552538332333,2.5877737034133133,2.8815977175463625,2.857811555449721,702,2000-2021
0.65,0.25,7.5,2.3620552538332333,2.5877737034133133,2.8815977175463625,2.857811555449721,702,2000-2021
0.65,0.3,7.5,2.3620552538332333,2.5877737034133133,2.8815977175463625,2.857811555449721,702,2000-2021
0.6,0.0,7.0,2.3630045154243047,2.5877737034133133,2.8815977175463625,2.8585543901931016,702,2000-2021
0.6,0.1,7.0,2.3630045154243047,2.5877737034133133,2.8815977175463625,2.8585543901931016,702,2000-2021
0.6,0.15,7.0,2.3630045154243047,2.5877737034133133,2.8815977175463625,2.8585543901931016,702,2000-2021
0.6,0.2,7.0,2.3630045154243047,2.5877737034133133,2.8815977175463625,2.8585543901931016,702,2000-2021
0.6,0.25,7.0,2.3630045154243047,2.5877737034133133,2.8815977175463625,2.8585543901931016,702,2000-2021
0.6,0.3,7.0,2.3630045154243047,2.5877737034133133,2.8815977175463625,2.8585543901931016,702,2000-2021
0.55,0.0,6.5,2.364107121630443,2.5877737034133133,2.8815977175463625,2.8594789906549605,702,2000-2021
0.55,0.1,6.5,2.364107121630443,2.5877737034133133,2.8815977175463625,2.8594789906549605,702,2000-2021
0.55,0.15,6.5,2.364107121630443,2.5877737034133133,2.8815977175463625,2.8594789906549605,702,2000-2021
0.55,0.2,6.5,2.364107121630443,2.5877737034133133,2.8815977175463625,2.8594789906549605,702,2000-2021
0.55,0.25,6.5,2.364107121630443,2.5877737034133133,2.8815977175463625,2.8594789906549605,702,2000-2021
0.55,0.3,6.5,2.364107121630443,2.5877737034133133,2.8815977175463625,2.8594789906549605,702,2000-2021
0.5,0.0,6.0,2.365424261835084,2.5877737034133133,2.8815977175463625,2.8606504980367307,702,2000-2021
0.5,0.1,6.0,2.365424261835084,2.5877737034133133,2.8815977175463625,2.8606504980367307,702,2000-2021
0.5,0.15,6.0,2.365424261835084,2.5877737034133133,2.8815977175463625,2.8606504980367307,702,2000-2021
0.5,0.2,6.0,2.365424261835084,2.5877737034133133,2.8815977175463625,2.8606504980367307,702,2000-2021
0.5,0.25,6.0,2.365424261835084,2.5877737034133133,2.8815977175463625,2.8606504980367307,702,2000-2021
0.5,0.3,6.0,2.365424261835084,2.5877737034133133,2.8815977175463625,2.8606504980367307,702,2000-2021
0.6,0.0,7.5,2.36813651348146,2.5877737034133133,2.8815977175463625,2.8631983667492555,702,2000-2021
0.6,0.1,7.5,2.36813651348146,2.5877737034133133,2.8815977175463625,2.8631983667492555,702,2000-2021
0.6,0.15,7.5,2.36813651348146,2.5877737034133133,2.8815977175463625,2.8631983667492555,702,2000-2021
0.6,0.2,7.5,2.36813651348146,2.5877737034133133,2.8815977175463625,2.8631983667492555,702,2000-2021
0.6,0.25,7.5,2.36813651348146,2.5877737034133133,2.8815977175463625,2.8631983667492555,702,2000-2021
0.6,0.3,7.5,2.36813651348146,2.5877737034133133,2.8815977175463625,2.8631983667492555,702,2000-2021
0.55,0.0,7.0,2.369757297178477,2.5877737034133133,2.8815977175463625,2.864724594205439,702,2000-2021
0.55,0.1,7.0,2.369757297178477,2.5877737034133133,2.8815977175463625,2.864724594205439,702,2000-2021
0.55,0.15,7.0,2.369757297178477,2.5877737034133133,2.8815977175463625,2.864724594205439,702,2000-2021
