season,week,matchup_key,away_team,home_team,spread_pick_side,spread_pick_team,spread_edge_points,favorite_side,ref_key,ref_n,ref_ats_for_our_side,ref_alignment,spread_result,pick_wins,spread_roi
2015,13,PHI@NE,PHI,NE,AWAY,PHI,6.333,HOME,petermorelli,182,0.510989010989011,aligned,win,True,0.9709
2015,13,SF@CHI,SF,CHI,AWAY,SF,5.091,HOME,jeromeboger,133,0.5037593984962406,aligned,win,True,0.9524
2015,13,DAL@WAS,DAL,WAS,AWAY,DAL,4.363,HOME,waltanderson,182,0.543956043956044,aligned,win,True,0.9091
2015,14,MIN@ARI,MIN,ARI,AWAY,MIN,6.94,HOME,genesteratore,133,0.5413533834586466,aligned,win,True,0.9524
2015,14,DET@LAR,DET,LAR,HOME,LAR,3.405,AWAY,,0,,unknown,win,True,0.9524
2015,14,IND@JAX,IND,JAX,AWAY,IND,4.429,HOME,carlcheffers,104,0.5384615384615384,aligned,loss,False,-1.0
2015,14,LV@DEN,LV,DEN,HOME,DEN,1.688,HOME,,0,,unknown,loss,False,-1.0
2015,14,LAC@KC,LAC,KC,AWAY,LAC,7.673,HOME,,0,,unknown,win,True,1.01
2015,14,TEN@NYJ,TEN,NYJ,AWAY,TEN,5.722,HOME,jeromeboger,133,0.5037593984962406,aligned,loss,False,-1.0
2015,14,WAS@CHI,WAS,CHI,AWAY,WAS,1.608,HOME,rontorbert,0,,unknown,win,True,0.9901
2015,14,NYG@MIA,NYG,MIA,HOME,MIA,5.124,AWAY,craigwrolstad,15,0.6666666666666667,strong_aligned,loss,False,-1.0
2015,15,TB@LAR,TB,LAR,HOME,LAR,2.528,HOME,,0,,unknown,win,True,1.02
2015,15,NYJ@DAL,NYJ,DAL,HOME,DAL,9.423,AWAY,craigwrolstad,15,0.6666666666666667,strong_aligned,push,False,0.0
2015,15,ATL@JAX,ATL,JAX,AWAY,ATL,3.153,HOME,billvinovich,88,0.5568181818181819,strong_aligned,win,True,0.9709
2015,15,CIN@SF,CIN,SF,HOME,SF,7.841,AWAY,rontorbert,0,,unknown,loss,False,-1.0
2015,15,CLE@SEA,CLE,SEA,AWAY,CLE,7.964,HOME,genesteratore,133,0.5413533834586466,aligned,loss,False,-1.0
2015,15,DEN@PIT,DEN,PIT,AWAY,DEN,7.375,HOME,carlcheffers,104,0.5384615384615384,aligned,win,True,0.9709
2015,16,LAC@LV,LAC,LV,AWAY,LAC,5.714,HOME,,0,,unknown,win,True,0.9524
2015,16,WAS@PHI,WAS,PHI,HOME,PHI,3.009,HOME,waltcoleman,218,0.5321100917431193,aligned,loss,False,-1.0
2015,16,CLE@KC,CLE,KC,AWAY,CLE,6.148,HOME,waltanderson,182,0.543956043956044,aligned,win,True,0.9709
2015,16,IND@MIA,IND,MIA,AWAY,IND,2.343,HOME,genesteratore,133,0.5413533834586466,aligned,win,True,1.01
2015,16,JAX@NO,JAX,NO,HOME,NO,2.871,HOME,rontorbert,0,,unknown,win,True,0.9346
2015,16,PIT@BAL,PIT,BAL,HOME,BAL,15.213,AWAY,craigwrolstad,15,0.6666666666666667,strong_aligned,win,True,0.9901
2015,16,SF@DET,SF,DET,AWAY,SF,4.435,HOME,billvinovich,88,0.5568181818181819,strong_aligned,loss,False,-1.0
2015,16,LAR@SEA,LAR,SEA,AWAY,LAR,5.194,HOME,,0,,unknown,win,True,0.9091
2015,17,BAL@CIN,BAL,CIN,AWAY,BAL,10.387,HOME,carlcheffers,104,0.5384615384615384,aligned,win,True,0.813
2015,17,JAX@HOU,JAX,HOU,HOME,HOU,1.7,HOME,terrymcaulay,213,0.5023474178403756,aligned,win,True,0.9259
2015,17,NE@MIA,NE,MIA,HOME,MIA,9.429,AWAY,edhochuli,234,0.5128205128205128,aligned,win,True,0.8696
2015,17,NO@ATL,NO,ATL,AWAY,NO,4.19,HOME,craigwrolstad,15,0.6666666666666667,strong_aligned,win,True,0.9434
2015,17,NYJ@BUF,NYJ,BUF,HOME,BUF,9.274,AWAY,waltanderson,182,0.543956043956044,aligned,win,True,1.08
2015,17,PHI@NYG,PHI,NYG,AWAY,PHI,4.025,HOME,genesteratore,133,0.5413533834586466,aligned,win,True,1.0
2015,17,PIT@CLE,PIT,CLE,HOME,CLE,13.33,AWAY,petermorelli,182,0.510989010989011,aligned,loss,False,-1.0
2015,17,LAC@DEN,LAC,DEN,AWAY,LAC,5.953,HOME,,0,,unknown,win,True,1.02
2015,17,LAR@SF,LAR,SF,HOME,SF,4.581,AWAY,,0,,unknown,win,True,1.04
2015,17,TB@CAR,TB,CAR,AWAY,TB,6.088,HOME,jeromeboger,133,0.5037593984962406,aligned,loss,False,-1.0
2015,17,TEN@IND,TEN,IND,HOME,IND,3.741,HOME,cleteblakeman,75,0.5466666666666666,aligned,win,True,0.9524
2015,17,WAS@DAL,WAS,DAL,HOME,DAL,3.348,HOME,johnparry,119,0.5126050420168067,aligned,loss,False,-1.0
2015,18,KC@HOU,KC,HOU,HOME,HOU,4.746,AWAY,rontorbert,0,,unknown,loss,False,-1.0
2015,18,GB@WAS,GB,WAS,AWAY,GB,5.055,HOME,genesteratore,133,0.5413533834586466,aligned,win,True,0.9615
2015,19,KC@NE,KC,NE,AWAY,KC,2.823,HOME,craigwrolstad,15,0.6666666666666667,strong_aligned,loss,False,-1.0
2015,20,ARI@CAR,ARI,CAR,AWAY,ARI,1.904,HOME,billvinovich,88,0.5568181818181819,strong_aligned,loss,False,-1.0
2015,20,NE@DEN,NE,DEN,HOME,DEN,3.583,AWAY,edhochuli,234,0.5128205128205128,aligned,win,True,0.9524
2016,1,CAR@DEN,CAR,DEN,HOME,DEN,2.727,AWAY,genesteratore,147,0.5510204081632653,strong_aligned,win,True,0.9009
2016,1,BUF@BAL,BUF,BAL,AWAY,BUF,3.168,HOME,bradallen,30,0.5333333333333333,aligned,loss,False,-1.0
2016,1,CHI@HOU,CHI,HOU,AWAY,CHI,2.38,HOME,petermorelli,197,0.5228426395939086,aligned,loss,False,-1.0
2016,1,DET@IND,DET,IND,AWAY,DET,1.666,HOME,edhochuli,251,0.5298804780876494,aligned,win,True,1.07
2016,1,GB@JAX,GB,JAX,HOME,JAX,2.179,AWAY,carlcheffers,119,0.5378151260504201,aligned,loss,False,-1.0
2016,1,LV@NO,LV,NO,AWAY,LV,1.517,HOME,,0,,unknown,win,True,1.11
2016,1,LAR@SF,LAR,SF,HOME,SF,2.422,AWAY,,0,,unknown,win,True,0.9346
2016,1,PIT@WAS,PIT,WAS,HOME,WAS,1.863,AWAY,craigwrolstad,29,0.5172413793103448,aligned,loss,False,-1.0
2016,2,ATL@LV,ATL,LV,AWAY,ATL,1.517,HOME,,0,,unknown,win,True,0.9615
2016,2,CIN@PIT,CIN,PIT,AWAY,CIN,1.716,HOME,petermorelli,197,0.5228426395939086,aligned,loss,False,-1.0
2016,2,GB@MIN,GB,MIN,HOME,MIN,3.514,AWAY,waltanderson,196,0.5510204081632653,strong_aligned,win,True,0.9709
2016,2,SEA@LAR,SEA,LAR,HOME,LAR,3.054,AWAY,,0,,unknown,win,True,0.9346
2016,2,SF@CAR,SF,CAR,AWAY,SF,2.884,HOME,johnparry,133,0.518796992481203,aligned,loss,False,-1.0
2016,2,TEN@DET,TEN,DET,AWAY,TEN,1.81,HOME,bradallen,30,0.5333333333333333,aligned,win,True,0.9804
2016,3,ARI@BUF,ARI,BUF,HOME,BUF,4.636,AWAY,waltanderson,196,0.5510204081632653,strong_aligned,win,True,0.9434
2016,3,BAL@JAX,BAL,JAX,HOME,JAX,3.285,AWAY,genesteratore,147,0.5510204081632653,strong_aligned,loss,False,-1.0
2016,3,CHI@DAL,CHI,DAL,AWAY,CHI,5.769,HOME,craigwrolstad,29,0.5172413793103448,aligned,loss,False,-1.0
2016,3,DET@GB,DET,GB,AWAY,DET,1.787,HOME,carlcheffers,119,0.5378151260504201,aligned,loss,False,-1.0
2016,3,LAR@TB,LAR,TB,AWAY,LAR,2.313,HOME,,0,,unknown,win,True,0.9709
2016,3,LV@TEN,LV,TEN,HOME,TEN,1.596,AWAY,,0,,unknown,loss,False,-1.0
2016,3,PIT@PHI,PIT,PHI,HOME,PHI,2.015,AWAY,bradallen,30,0.5333333333333333,aligned,win,True,0.9524
2016,4,LAR@ARI,LAR,ARI,AWAY,LAR,3.807,HOME,,0,,unknown,win,True,0.8772
2016,4,NO@LAC,NO,LAC,AWAY,NO,1.703,HOME,,0,,unknown,win,True,0.9804
2016,4,LV@BAL,LV,BAL,AWAY,LV,2.619,HOME,,0,,unknown,win,True,0.9091
2016,5,BUF@LAR,BUF,LAR,HOME,LAR,2.68,AWAY,,0,,unknown,loss,False,-1.0
2016,5,NE@CLE,NE,CLE,HOME,CLE,6.886,AWAY,billvinovich,103,0.5631067961165048,strong_aligned,loss,False,-1.0
2016,5,NYG@GB,NYG,GB,AWAY,NYG,2.945,HOME,edhochuli,251,0.5298804780876494,aligned,push,False,0.0
2016,5,NYJ@PIT,NYJ,PIT,AWAY,NYJ,6.441,HOME,johnparry,133,0.518796992481203,aligned,loss,False,-1.0
