season,week,matchup_key,away_team,home_team,spread_pick_side,spread_pick_team,spread_edge_points,favorite_side,ref_key,ref_n,ref_ats_for_our_side,ref_alignment,spread_result,pick_wins,spread_roi
2021,15,HOU@JAX,HOU,JAX,AWAY,HOU,6.205,HOME,alexkemp,47,0.42553191489361697,weak_conflict,win,True,0.9009
2021,15,NO@TB,NO,TB,AWAY,NO,9.531,HOME,johnhussey,94,0.5212765957446808,aligned,win,True,0.9901
2021,15,NYJ@MIA,NYJ,MIA,AWAY,NYJ,1.999,HOME,rontorbert,63,0.4126984126984127,weak_conflict,win,True,0.8772
2021,15,TEN@PIT,TEN,PIT,HOME,PIT,2.442,HOME,bradrogers,12,0.3333333333333333,conflict,win,True,0.8772
2021,15,LV@CLE,LV,CLE,HOME,CLE,4.699,AWAY,craigwrolstad,106,0.49056603773584906,neutral,win,True,0.9174
2021,15,MIN@CHI,MIN,CHI,HOME,CHI,9.707,AWAY,scottnovak,30,0.5666666666666667,strong_aligned,loss,False,-1.0
2021,15,SEA@LAR,SEA,LAR,AWAY,SEA,4.972,HOME,,0,,unknown,loss,False,-1.0
2021,15,WAS@PHI,WAS,PHI,AWAY,WAS,8.946,HOME,tonycorrente,316,0.5189873417721519,aligned,push,False,0.0
2021,16,SF@TEN,SF,TEN,HOME,TEN,5.884,AWAY,shawnhochuli,45,0.5333333333333333,aligned,win,True,0.8333
2021,16,CLE@GB,CLE,GB,AWAY,CLE,2.711,HOME,alexkemp,47,0.42553191489361697,weak_conflict,win,True,1.01
2021,16,IND@ARI,IND,ARI,AWAY,IND,1.534,HOME,craigwrolstad,106,0.49056603773584906,neutral,win,True,1.02
2021,16,BAL@CIN,BAL,CIN,AWAY,BAL,12.191,HOME,cleteblakeman,169,0.5207100591715976,aligned,loss,False,-1.0
2021,16,BUF@NE,BUF,NE,AWAY,BUF,2.519,HOME,shawnsmith,45,0.5333333333333333,aligned,win,True,0.9434
2021,16,CHI@SEA,CHI,SEA,AWAY,CHI,3.325,HOME,carlcheffers,200,0.5349999999999999,aligned,win,True,0.9709
2021,16,DEN@LV,DEN,LV,HOME,LV,4.045,AWAY,scottnovak,30,0.5666666666666667,strong_aligned,win,True,0.9091
2021,16,DET@ATL,DET,ATL,AWAY,DET,1.763,HOME,rontorbert,63,0.4126984126984127,weak_conflict,win,True,0.9434
2021,16,JAX@NYJ,JAX,NYJ,AWAY,JAX,2.294,HOME,tonycorrente,316,0.5189873417721519,aligned,loss,False,-1.0
2021,16,LAC@HOU,LAC,HOU,HOME,HOU,15.004,AWAY,claymartin,43,0.6744186046511628,strong_aligned,win,True,0.8772
2021,16,LAR@MIN,LAR,MIN,HOME,MIN,2.659,AWAY,,0,,unknown,loss,False,-1.0
2021,16,NYG@PHI,NYG,PHI,AWAY,NYG,8.369,HOME,landclark,15,0.6,strong_aligned,loss,False,-1.0
2021,16,PIT@KC,PIT,KC,AWAY,PIT,7.301,HOME,shawnsmith,45,0.5333333333333333,aligned,loss,False,-1.0
2021,16,TB@CAR,TB,CAR,HOME,CAR,9.576,AWAY,bradallen,107,0.5420560747663552,aligned,loss,False,-1.0
2021,16,WAS@DAL,WAS,DAL,AWAY,WAS,9.536,HOME,billvinovich,182,0.543956043956044,aligned,loss,False,-1.0
2021,16,MIA@NO,MIA,NO,HOME,NO,6.694,AWAY,adrianhill,31,0.5483870967741935,aligned,loss,False,-1.0
2021,17,ARI@DAL,ARI,DAL,AWAY,ARI,6.623,HOME,scottnovak,30,0.5666666666666667,strong_aligned,win,True,0.9709
2021,17,ATL@BUF,ATL,BUF,AWAY,ATL,8.881,HOME,landclark,15,0.6,strong_aligned,push,False,0.0
2021,17,DEN@LAC,DEN,LAC,AWAY,DEN,5.309,HOME,craigwrolstad,106,0.49056603773584906,neutral,loss,False,-1.0
2021,17,DET@SEA,DET,SEA,AWAY,DET,1.718,HOME,tonycorrente,316,0.5189873417721519,aligned,loss,False,-1.0
2021,17,HOU@SF,HOU,SF,AWAY,HOU,10.395,HOME,carlcheffers,200,0.5349999999999999,aligned,loss,False,-1.0
2021,17,JAX@NE,JAX,NE,AWAY,JAX,12.134,HOME,adrianhill,31,0.5483870967741935,aligned,loss,False,-1.0
2021,17,LAR@BAL,LAR,BAL,HOME,BAL,11.55,AWAY,,0,,unknown,win,True,0.9901
2021,17,LV@IND,LV,IND,AWAY,LV,4.753,HOME,bradrogers,12,0.6666666666666667,strong_aligned,win,True,1.0
2021,17,MIA@TEN,MIA,TEN,AWAY,MIA,1.607,HOME,shawnsmith,45,0.5333333333333333,aligned,loss,False,-1.0
2021,17,MIN@GB,MIN,GB,AWAY,MIN,7.951,HOME,claymartin,43,0.6744186046511628,strong_aligned,loss,False,-1.0
2021,17,NYG@CHI,NYG,CHI,AWAY,NYG,3.398,HOME,shawnhochuli,45,0.5333333333333333,aligned,loss,False,-1.0
2021,17,PHI@WAS,PHI,WAS,HOME,WAS,9.485,AWAY,cleteblakeman,169,0.5207100591715976,aligned,win,True,0.8696
2021,17,TB@NYJ,TB,NYJ,HOME,NYJ,8.318,AWAY,alexkemp,47,0.42553191489361697,weak_conflict,win,True,0.9091
2021,17,CLE@PIT,CLE,PIT,HOME,PIT,5.83,AWAY,bradallen,107,0.5420560747663552,aligned,win,True,0.9901
2021,18,DAL@PHI,DAL,PHI,HOME,PHI,8.61,AWAY,rontorbert,63,0.4126984126984127,weak_conflict,loss,False,-1.0
2021,18,KC@DEN,KC,DEN,HOME,DEN,8.801,AWAY,bradrogers,12,0.6666666666666667,strong_aligned,win,True,0.9091
2021,18,CAR@TB,CAR,TB,AWAY,CAR,5.081,HOME,tonycorrente,316,0.5189873417721519,aligned,loss,False,-1.0
2021,18,CHI@MIN,CHI,MIN,AWAY,CHI,2.167,HOME,bradallen,107,0.5420560747663552,aligned,loss,False,-1.0
2021,18,CIN@CLE,CIN,CLE,AWAY,CIN,2.9,HOME,billvinovich,182,0.543956043956044,aligned,win,True,0.9091
2021,18,IND@JAX,IND,JAX,HOME,JAX,11.189,AWAY,claymartin,43,0.6744186046511628,strong_aligned,win,True,0.9091
2021,18,LAC@LV,LAC,LV,HOME,LV,5.876,AWAY,cleteblakeman,169,0.5207100591715976,aligned,win,True,0.9091
2021,18,NE@MIA,NE,MIA,HOME,MIA,9.446,AWAY,alexkemp,47,0.42553191489361697,weak_conflict,win,True,0.9091
2021,18,NO@ATL,NO,ATL,HOME,ATL,3.817,AWAY,craigwrolstad,106,0.49056603773584906,neutral,loss,False,-1.0
2021,18,NYJ@BUF,NYJ,BUF,AWAY,NYJ,5.525,HOME,johnhussey,94,0.5212765957446808,aligned,loss,False,-1.0
2021,18,SEA@ARI,SEA,ARI,AWAY,SEA,4.065,HOME,shawnsmith,45,0.5333333333333333,aligned,win,True,0.9091
2021,18,TEN@HOU,TEN,HOU,HOME,HOU,10.564,AWAY,landclark,15,0.6,strong_aligned,win,True,0.8696
2021,18,WAS@NYG,WAS,NYG,HOME,NYG,6.441,AWAY,adrianhill,31,0.5483870967741935,aligned,loss,False,-1.0
2021,19,LV@CIN,LV,CIN,AWAY,LV,5.889,HOME,jeromeboger,222,0.49549549549549554,neutral,loss,False,-1.0
2021,19,PIT@KC,PIT,KC,AWAY,PIT,9.801,HOME,shawnsmith,45,0.5333333333333333,aligned,loss,False,-1.0
2021,19,SF@DAL,SF,DAL,AWAY,SF,2.661,HOME,alexkemp,47,0.42553191489361697,weak_conflict,win,True,1.0
2021,20,SF@GB,SF,GB,AWAY,SF,1.738,HOME,rontorbert,63,0.4126984126984127,weak_conflict,win,True,1.02
2021,22,LAR@CIN,LAR,CIN,HOME,CIN,2.337,AWAY,,0,,unknown,win,True,0.9091
2022,1,BAL@NYJ,BAL,NYJ,HOME,NYJ,4.054,AWAY,craigwrolstad,123,0.49593495934959353,neutral,loss,False,-1.0
2022,1,CLE@CAR,CLE,CAR,AWAY,CLE,2.749,HOME,bradrogers,28,0.6428571428571428,strong_aligned,win,True,0.8929
