key,season,season_type,week,team,opponent,home_away,matchup_key,score_for,score_against,latest_stage,analysis_available,classification,pick_market,pick_side,pick_on_team,selector_score,data_quality_status,source_health_status
IND:PREWPRE3,2026,PRE,PRE3,IND,DET,home,DET@IND,,,update,True,⚠️ PASS,none,,False,,OK,OK
MIA:PREWPRE3,2026,PRE,PRE3,MIA,NYG,home,NYG@MIA,3,26,,False,,,,False,,,
BAL:PREWPRE3,2026,PRE,PRE3,BAL,WAS,home,WAS@BAL,,,update,True,⚠️ PASS,none,,False,,OK,OK
MIN:PREWPRE3,2026,PRE,PRE3,MIN,@DEN,away,MIN@DEN,,,update,True,❌ FADE,none,,False,,OK,OK
BUF:PREWPRE3,2026,PRE,PRE3,BUF,PIT,home,PIT@BUF,,,update,True,❌ FADE,none,,False,,OK,OK
CLE:PREWPRE3,2026,PRE,PRE3,CLE,NE,home,NE@CLE,,,update,True,⚠️ PASS,none,,False,0,OK,OK
CAR:PREWPRE3,2026,PRE,PRE3,CAR,HOU,home,HOU@CAR,,,update,True,⚠️ PASS,none,HOME,False,0,OK,OK
JAX:PREWPRE3,2026,PRE,PRE3,JAX,TB,home,TB@JAX,,,update,True,❌ FADE,none,,False,,OK,OK
CHI:PREWPRE3,2026,PRE,PRE3,CHI,@TEN,away,CHI@TEN,,,update,True,❌ FADE,none,,False,3.0,OK,OK
CIN:PREWPRE3,2026,PRE,PRE3,CIN,@PHI,away,CIN@PHI,,,update,True,❌ FADE,none,,False,,OK,OK
TEN:PREWPRE3,2026,PRE,PRE3,TEN,SEA,home,SEA@TEN,19,16,,False,,,,False,,,
PHI:PREWPRE3,2026,PRE,PRE3,PHI,@NE,away,PHI@NE,21,24,,False,,,,False,,,
DAL:PREWPRE3,2026,PRE,PRE3,DAL,NO,home,NO@DAL,,,update,True,⚠️ PASS,none,,False,,OK,OK
DET:PREWPRE3,2026,PRE,PRE3,DET,WSH,home,WSH@DET,17,13,,False,,,,False,,,
DEN:PREWPRE3,2026,PRE,PRE3,DEN,MIN,home,MIN@DEN,,,update,True,❌ FADE,none,,False,,OK,OK
HOU:PREWPRE3,2026,PRE,PRE3,HOU,LV,home,LV@HOU,20,22,,False,,,,False,,,
KC:PREWPRE3,2026,PRE,PRE3,KC,SEA,home,SEA@KC,,,final,True,📊 LEAN,spread,AWAY,False,3,DEGRADED,DEGRADED
TB:PREWPRE3,2026,PRE,PRE3,TB,@JAX,away,TB@JAX,,,update,True,❌ FADE,none,,False,,OK,OK
LAR:PREWPRE3,2026,PRE,PRE3,LAR,NO,home,NO@LAR,34,0,,False,,,,False,,,
LAC:PREWPRE3,2026,PRE,PRE3,LAC,SF,home,SF@LAC,17,41,,False,,,,False,,,
LV:PREWPRE3,2026,PRE,PRE3,LV,SF,home,SF@LV,,,update,True,⚠️ PASS,none,,False,0,OK,OK
NE:PREWPRE3,2026,PRE,PRE3,NE,PHI,home,PHI@NE,24,21,,False,,,,False,,,
NO:PREWPRE3,2026,PRE,PRE3,NO,@LAR,away,NO@LAR,0,34,,False,,,,False,,,
NYG:PREWPRE3,2026,PRE,PRE3,NYG,@NYJ,away,NYG@NYJ,,,update,True,⚠️ PASS,none,,False,,OK,OK
NYJ:PREWPRE3,2026,PRE,PRE3,NYJ,@PIT,away,NYJ@PIT,17,0,,False,,,,False,,,
PIT:PREWPRE3,2026,PRE,PRE3,PIT,@BUF,away,PIT@BUF,,,update,True,❌ FADE,none,,False,,OK,OK
SEA:PREWPRE3,2026,PRE,PRE3,SEA,@TEN,away,SEA@TEN,16,19,,False,,,,False,,,
SF:PREWPRE3,2026,PRE,PRE3,SF,@LV,away,SF@LV,,,update,True,⚠️ PASS,none,,False,0,OK,OK
WAS:PREWPRE3,2026,PRE,PRE3,WAS,@BAL,away,WAS@BAL,,,update,True,⚠️ PASS,none,,False,,OK,OK
WSH:PREWPRE3,2026,PRE,PRE3,WSH,@DET,away,WSH@DET,13,17,,False,,,,False,,,
ARI:W10,2026,REG,10,ARI,LAR,home,LAR@ARI,0,0,,False,,,,False,,,
SEA:W10,2026,REG,10,SEA,@LV,away,SEA@LV,0,0,,False,,,,False,,,
ATL:W10,2026,REG,10,ATL,KC,home,KC@ATL,0,0,,False,,,,False,,,
IND:W10,2026,REG,10,IND,MIA,home,MIA@IND,0,0,,False,,,,False,,,
BAL:W10,2026,REG,10,BAL,LAC,home,LAC@BAL,0,0,,False,,,,False,,,
MIN:W10,2026,REG,10,MIN,@GB,away,MIN@GB,0,0,,False,,,,False,,,
BUF:W10,2026,REG,10,BUF,@NYJ,away,BUF@NYJ,0,0,,False,,,,False,,,
MIA:W10,2026,REG,10,MIA,@IND,away,MIA@IND,0,0,,False,,,,False,,,
NYJ:W10,2026,REG,10,NYJ,CLE,home,CLE@NYJ,,,final,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
CAR:W10,2026,REG,10,CAR,NO,home,NO@CAR,,,final,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
NO:W10,2026,REG,10,NO,@CAR,away,NO@CAR,,,final,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
CLE:W10,2026,REG,10,CLE,HOU,home,HOU@CLE,0,0,,False,,,,False,,,
DET:W10,2026,REG,10,DET,NE,home,NE@DET,0,0,,False,,,,False,,,
WAS:W10,2026,REG,10,WAS,DET,home,DET@WAS,,,final,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
HOU:W10,2026,REG,10,HOU,JAX,home,JAX@HOU,,,final,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
JAX:W10,2026,REG,10,JAX,@TEN,away,JAX@TEN,0,0,,False,,,,False,,,
TEN:W10,2026,REG,10,TEN,JAX,home,JAX@TEN,0,0,,False,,,,False,,,
KC:W10,2026,REG,10,KC,@ATL,away,KC@ATL,0,0,,False,,,,False,,,
LAC:W10,2026,REG,10,LAC,PIT,home,PIT@LAC,,,final,True,❌ FADE,none,,False,,DEGRADED,DEGRADED
LAR:W10,2026,REG,10,LAR,@SF,away,LAR@SF,,,final,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
SF:W10,2026,REG,10,SF,@DAL,away,SF@DAL,0,0,,False,,,,False,,,
LV:W10,2026,REG,10,LV,SEA,home,SEA@LV,0,0,,False,,,,False,,,
DEN:W10,2026,REG,10,DEN,LV,home,LV@DEN,,,final,True,❌ FADE,none,,False,,DEGRADED,DEGRADED
GB:W10,2026,REG,10,GB,PHI,home,PHI@GB,,,final,True,❌ FADE,none,,False,,DEGRADED,DEGRADED
NE:W10,2026,REG,10,NE,@TB,away,NE@TB,,,final,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
TB:W10,2026,REG,10,TB,NE,home,NE@TB,,,final,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
NYG:W10,2026,REG,10,NYG,WSH,home,WSH@NYG,0,0,,False,,,,False,,,
CHI:W10,2026,REG,10,CHI,NYG,home,NYG@CHI,,,final,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
PHI:W10,2026,REG,10,PHI,@GB,away,PHI@GB,,,final,True,❌ FADE,none,,False,,DEGRADED,DEGRADED
PIT:W10,2026,REG,10,PIT,@LAC,away,PIT@LAC,,,final,True,❌ FADE,none,,False,,DEGRADED,DEGRADED
CIN:W10,2026,REG,10,CIN,PIT,home,PIT@CIN,0,0,,False,,,,False,,,
DAL:W10,2026,REG,10,DAL,SF,home,SF@DAL,0,0,,False,,,,False,,,
WSH:W10,2026,REG,10,WSH,@NYG,away,WSH@NYG,0,0,,False,,,,False,,,
ARI:W18,2025,REG,18,ARI,@LAR,away,ARI@LAR,20,37,initial,True,⚠️ LANDMINE,,,False,,,
LAR:W18,2025,REG,18,LAR,ARI,home,ARI@LAR,37,20,initial,True,⚠️ LANDMINE,,,False,,,
BAL:W18,2025,REG,18,BAL,@PIT,away,BAL@PIT,24,26,initial,True,📊 LEAN,,,False,,,
PIT:W18,2025,REG,18,PIT,BAL,home,BAL@PIT,26,24,initial,True,📊 LEAN,,,False,,,
CAR:W18,2025,REG,18,CAR,@TB,away,CAR@TB,14,16,initial,True,📊 LEAN,,,False,,,
TB:W18,2025,REG,18,TB,CAR,home,CAR@TB,16,14,initial,True,📊 LEAN,,,False,,,
CLE:W18,2025,REG,18,CLE,@CIN,away,CLE@CIN,20,18,final,True,🎯 TARGETED PLAY,,,False,,,
CIN:W18,2025,REG,18,CIN,CLE,home,CLE@CIN,18,20,final,True,🎯 TARGETED PLAY,,,False,,,
DAL:W18,2025,REG,18,DAL,@NYG,away,DAL@NYG,17,34,final,True,⚠️ LANDMINE,,,False,,,
