season,week,team,opponent,matchup_key,game_key,home_away,day,win_probability,fair_moneyline,warps_wins,opponent_warps_wins,division_game,opponent_sos_rank,team_has_bye_before,opponent_has_bye_before,future_safe_spots,future_elite_spots,best_future_win_probability,future_value_cost,volatility_penalty,safety_score,survivor_score,risk_band,tier,reasons
2026,2,CLE,TB,CLE@TB,2:CLE@TB,away,Sun,0.3752,+167,6.76,8.56,False,22,False,False,0,0,0.6149,4.31,3.5,37.52,29.71,avoid,avoid,WARPS win probability 37.5%; Road favorite requires extra caution; Low future opportunity cost
2026,2,PIT,NE,PIT@NE,2:PIT@NE,away,Sun,0.398,+151,8.88,10.04,False,7,False,False,2,0,0.636,6.68,3.5,39.8,29.62,avoid,avoid,WARPS win probability 39.8%; Road favorite requires extra caution
2026,2,NO,BAL,NO@BAL,2:NO@BAL,away,Sun,0.3675,+172,7.51,9.53,False,23,False,False,1,0,0.6412,6.13,3.5,36.75,27.12,avoid,avoid,WARPS win probability 36.8%; Road favorite requires extra caution
2026,2,DET,BUF,DET@BUF,2:DET@BUF,away,Thu,0.4488,+123,10.45,10.22,False,8,False,False,5,2,0.7442,16.32,3.5,44.88,25.06,avoid,avoid,WARPS win probability 44.9%; Road favorite requires extra caution; Save risk: 2 future elite spot(s)
2026,2,MIA,SF,MIA@SF,2:MIA@SF,away,Sun,0.338,+196,6.76,9.64,False,19,False,False,1,0,0.6259,6.38,3.5,33.8,23.92,avoid,avoid,WARPS win probability 33.8%; Road favorite requires extra caution
2026,2,CIN,HOU,CIN@HOU,2:CIN@HOU,away,Sun,0.332,+201,7.74,10.8,False,26,False,False,1,0,0.6238,6.45,3.5,33.2,23.25,avoid,avoid,WARPS win probability 33.2%; Road favorite requires extra caution
2026,2,NYG,LAR,NYG@LAR,2:NYG@LAR,away,Mon,0.3172,+215,7.53,11.04,False,14,False,False,0,0,0.6163,5.38,3.5,31.72,22.84,avoid,avoid,WARPS win probability 31.7%; Road favorite requires extra caution; Low future opportunity cost
2026,2,LV,LAC,LV@LAC,2:LV@LAC,away,Sun,0.3271,+206,5.24,8.45,True,9,False,False,0,0,0.5326,3.7,6.5,32.71,22.51,avoid,avoid,WARPS win probability 32.7%; Road favorite requires extra caution; Division game raises upset volatility; Low future opportunity cost
2026,3,DET,NYJ,NYJ@DET,3:NYJ@DET,home,Sun,0.7442,-291,10.45,4.93,False,12,False,False,4,1,0.7134,7.3,0.0,74.42,67.12,premium,primary,WARPS win probability 74.4%; Home-field survivor spot; Save risk: 1 future elite spot(s)
2026,3,NO,LV,LV@NO,3:LV@NO,home,Sun,0.6412,-179,7.51,5.24,False,6,False,False,0,0,0.5901,0.0,0.0,64.12,64.12,usable,secondary,WARPS win probability 64.1%; Home-field survivor spot; Low future opportunity cost
