game_id,season,game_type,week,gameday,away_team,home_team,away_score,home_score,spread_line,total_line,actual_total,div_game,referee,favorite_side,favorite_ats,favorite_cover_margin,ou_result
2012_01_BUF_NYJ,2012,REG,1,2012-09-09,BUF,NYJ,28.0,48.0,3.0,39.5,76.0,1,Robert Frazer,HF,win,17.0,over
2012_01_CAR_TB,2012,REG,1,2012-09-09,CAR,TB,10.0,16.0,-3.0,45.5,26.0,1,Jerry Hughes,AF,loss,-9.0,under
2012_01_CIN_BAL,2012,REG,1,2012-09-10,CIN,BAL,13.0,44.0,7.0,42.5,57.0,1,Matt Nicks,HF,win,24.0,over
2012_01_DAL_NYG,2012,REG,1,2012-09-05,DAL,NYG,24.0,17.0,3.5,45.5,41.0,1,Jim Core,HF,loss,-10.5,under
2012_01_IND_CHI,2012,REG,1,2012-09-09,IND,CHI,21.0,41.0,10.0,41.5,62.0,0,Wayne Elliott,HF,win,10.0,over
2012_01_JAX_MIN,2012,REG,1,2012-09-09,JAX,MIN,23.0,26.0,3.5,38.0,49.0,0,Robert Dalton,HF,loss,-0.5,over
2012_01_MIA_HOU,2012,REG,1,2012-09-09,MIA,HOU,10.0,30.0,13.0,41.5,40.0,0,Donald King,HF,win,7.0,under
2012_01_NE_TEN,2012,REG,1,2012-09-09,NE,TEN,34.0,13.0,-4.5,48.0,47.0,0,Jerry Frump,AF,win,16.5,under
2012_01_PHI_CLE,2012,REG,1,2012-09-09,PHI,CLE,17.0,16.0,-9.0,42.0,33.0,0,Ken Roan,AF,loss,-8.0,under
2012_01_PIT_DEN,2012,REG,1,2012-09-09,PIT,DEN,19.0,31.0,2.5,45.5,50.0,0,Gerald Wright,HF,win,9.5,over
2012_01_SD_OAK,2012,REG,1,2012-09-10,SD,OAK,22.0,14.0,1.0,47.5,36.0,1,Jim Core,HF,loss,-9.0,under
2012_01_SEA_ARI,2012,REG,1,2012-09-09,SEA,ARI,16.0,20.0,-1.0,40.5,36.0,1,Bruce Hermansen,AF,loss,-5.0,under
2012_01_SF_GB,2012,REG,1,2012-09-09,SF,GB,30.0,22.0,6.0,46.5,52.0,0,David White,HF,loss,-14.0,over
2012_01_STL_DET,2012,REG,1,2012-09-09,STL,DET,23.0,27.0,9.0,46.0,50.0,0,Donovan Briggans,HF,loss,-5.0,over
2012_01_WAS_NO,2012,REG,1,2012-09-09,WAS,NO,40.0,32.0,9.5,50.0,72.0,0,David Scott,HF,loss,-17.5,over
2012_02_ARI_NE,2012,REG,2,2012-09-16,ARI,NE,20.0,18.0,13.0,47.0,38.0,0,David Scott,HF,loss,-15.0,under
2012_02_BAL_PHI,2012,REG,2,2012-09-16,BAL,PHI,23.0,24.0,3.0,46.5,47.0,0,Robert Frazer,HF,loss,-2.0,over
2012_02_CHI_GB,2012,REG,2,2012-09-13,CHI,GB,10.0,23.0,5.0,50.5,33.0,1,Gerald Wright,HF,win,8.0,under
2012_02_CLE_CIN,2012,REG,2,2012-09-16,CLE,CIN,27.0,34.0,7.0,39.5,61.0,1,Jerry Hughes,HF,push,0.0,over
2012_02_DAL_SEA,2012,REG,2,2012-09-16,DAL,SEA,7.0,27.0,-3.0,43.0,34.0,0,Donovan Briggans,AF,loss,-23.0,under
2012_02_DEN_ATL,2012,REG,2,2012-09-17,DEN,ATL,21.0,27.0,3.0,50.0,48.0,0,Ken Roan,HF,win,3.0,under
2012_02_DET_SF,2012,REG,2,2012-09-16,DET,SF,19.0,27.0,7.0,46.0,46.0,0,Matt Nicks,HF,win,1.0,push
2012_02_HOU_JAX,2012,REG,2,2012-09-16,HOU,JAX,27.0,7.0,-6.5,40.0,34.0,1,David White,AF,win,13.5,under
2012_02_KC_BUF,2012,REG,2,2012-09-16,KC,BUF,17.0,35.0,3.0,45.0,52.0,0,Robert Dalton,HF,win,15.0,over
2012_02_MIN_IND,2012,REG,2,2012-09-16,MIN,IND,20.0,23.0,-3.0,45.5,43.0,0,Donald King,AF,loss,-6.0,under
2012_02_NO_CAR,2012,REG,2,2012-09-16,NO,CAR,27.0,35.0,-3.0,53.0,62.0,1,Gerald Wright,AF,loss,-11.0,over
2012_02_NYJ_PIT,2012,REG,2,2012-09-16,NYJ,PIT,10.0,27.0,4.5,43.0,37.0,0,Jerry Frump,HF,win,12.5,under
2012_02_OAK_MIA,2012,REG,2,2012-09-16,OAK,MIA,13.0,35.0,-1.0,41.0,48.0,0,Mike Shepherd,AF,loss,-23.0,over
2012_02_TB_NYG,2012,REG,2,2012-09-16,TB,NYG,34.0,41.0,9.0,43.5,75.0,0,Jim Core,HF,loss,-2.0,over
2012_02_TEN_SD,2012,REG,2,2012-09-16,TEN,SD,10.0,38.0,6.5,43.5,48.0,0,Bruce Hermansen,HF,win,21.5,over
2012_02_WAS_STL,2012,REG,2,2012-09-16,WAS,STL,28.0,31.0,-3.5,42.5,59.0,0,Wayne Elliott,AF,loss,-6.5,over
2012_03_ATL_SD,2012,REG,3,2012-09-23,ATL,SD,27.0,3.0,3.0,47.0,30.0,0,Jim Core,HF,loss,-27.0,under
2012_03_BUF_CLE,2012,REG,3,2012-09-23,BUF,CLE,24.0,14.0,-2.5,45.0,38.0,0,David Scott,AF,win,7.5,under
2012_03_CIN_WAS,2012,REG,3,2012-09-23,CIN,WAS,38.0,31.0,3.0,49.5,69.0,0,Matt Nicks,HF,loss,-10.0,over
2012_03_DET_TEN,2012,REG,3,2012-09-23,DET,TEN,41.0,44.0,-3.5,47.0,85.0,0,Gerald Wright,AF,loss,-6.5,over
2012_03_GB_SEA,2012,REG,3,2012-09-24,GB,SEA,12.0,14.0,-3.0,45.5,26.0,0,Wayne Elliott,AF,loss,-5.0,under
2012_03_HOU_DEN,2012,REG,3,2012-09-23,HOU,DEN,31.0,25.0,-1.0,43.5,56.0,0,Jerry Frump,AF,win,5.0,over
2012_03_JAX_IND,2012,REG,3,2012-09-23,JAX,IND,22.0,17.0,3.0,41.5,39.0,1,Donovan Briggans,HF,loss,-8.0,under
2012_03_KC_NO,2012,REG,3,2012-09-23,KC,NO,27.0,24.0,9.0,51.5,51.0,0,Donald King,HF,loss,-12.0,under
2012_03_NE_BAL,2012,REG,3,2012-09-23,NE,BAL,30.0,31.0,2.5,48.5,61.0,0,Bruce Hermansen,HF,loss,-1.5,over
2012_03_NYG_CAR,2012,REG,3,2012-09-20,NYG,CAR,36.0,7.0,2.5,49.0,43.0,0,Robert Frazer,HF,loss,-31.5,under
2012_03_NYJ_MIA,2012,REG,3,2012-09-23,NYJ,MIA,23.0,20.0,-2.5,40.5,43.0,1,Robert Frazer,AF,win,0.5,over
2012_03_PHI_ARI,2012,REG,3,2012-09-23,PHI,ARI,6.0,27.0,-3.0,42.5,33.0,0,Mike Shepherd,AF,loss,-24.0,under
2012_03_PIT_OAK,2012,REG,3,2012-09-23,PIT,OAK,31.0,34.0,-3.5,45.5,65.0,0,David White,AF,loss,-6.5,over
2012_03_SF_MIN,2012,REG,3,2012-09-23,SF,MIN,13.0,24.0,-6.5,42.5,37.0,0,Ken Roan,AF,loss,-17.5,under
2012_03_STL_CHI,2012,REG,3,2012-09-23,STL,CHI,6.0,23.0,7.0,41.5,29.0,0,Jerry Hughes,HF,win,10.0,under
2012_03_TB_DAL,2012,REG,3,2012-09-23,TB,DAL,10.0,16.0,7.0,45.5,26.0,0,Robert Dalton,HF,loss,-1.0,under
